game_id,season,week,date,home_team,away_team,home_score,away_score,close_spread,close_total,home_win_rate_last4,home_win_rate_last8,home_win_rate_last16,home_pdiff_last4,home_pdiff_last8,home_pdiff_last16,home_points_for_last4,home_points_for_last8,home_points_for_last16,home_points_against_last4,home_points_against_last8,home_points_against_last16,home_turnover_diff_last4,home_turnover_diff_last8,home_turnover_diff_last16,away_win_rate_last4,away_win_rate_last8,away_win_rate_last16,away_pdiff_last4,away_pdiff_last8,away_pdiff_last16,away_points_for_last4,away_points_for_last8,away_points_for_last16,away_points_against_last4,away_points_against_last8,away_points_against_last16,away_turnover_diff_last4,away_turnover_diff_last8,away_turnover_diff_last16,home_win,predicted_prob,predicted_winner,actual_winner,correct,confidence,predicted_spread,actual_spread,spread_error
nfl_2023_01_DET_KC,2023,1,2023-09-07,KC,DET,20,21,4.0,41.0,1.0,1.0,0.875,7.75,7.5,6.6875,29.75,29.25,28.4375,22.0,21.75,21.75,0.0,0.0,0.0,0.75,0.75,0.5625,6.0,8.875,1.8125,26.0,29.25,26.125,20.0,20.375,24.3125,0.0,0.0,0.0,0,0.7184410455452521,KC,DET,False,0.7184410455452521,3.0581746376335297,-1,4.058174637633529
nfl_2023_01_CAR_ATL,2023,1,2023-09-10,ATL,CAR,24,10,3.5,34.0,0.5,0.375,0.4375,0.75,-1.625,-1.25,19.25,18.5,21.1875,18.5,20.125,22.4375,0.0,0.0,0.0,0.5,0.625,0.4375,0.75,2.75,-1.5625,21.75,21.0,20.1875,21.0,18.25,21.75,0.0,0.0,0.0,1,0.5400517532805436,ATL,ATL,True,0.5400517532805436,0.5607245459276098,14,13.43927545407239
nfl_2023_01_HOU_BAL,2023,1,2023-09-10,BAL,HOU,25,9,9.5,34.0,0.25,0.375,0.5625,-3.25,-2.625,1.0625,15.75,14.875,19.0625,19.0,17.5,18.0,0.0,0.0,0.0,0.5,0.25,0.1875,-7.0,-9.125,-8.1875,19.5,17.5,16.8125,26.5,26.625,25.0,0.0,0.0,0.0,1,0.7611605517857842,BAL,BAL,True,0.7611605517857842,3.6562477250009793,16,12.343752274999021
nfl_2023_01_CIN_CLE,2023,1,2023-09-10,CLE,CIN,24,3,-1.0,27.0,0.5,0.5,0.375,0.75,0.125,-1.375,15.25,18.0,20.9375,14.5,17.875,22.3125,0.0,0.0,0.0,0.75,0.875,0.8125,8.0,7.875,6.75,24.5,25.5,26.5625,16.5,17.625,19.8125,0.0,0.0,0.0,1,0.41677580840856104,CIN,CLE,False,0.5832241915914389,-1.1651386822801455,21,22.165138682280144
nfl_2023_01_JAX_IND,2023,1,2023-09-10,IND,JAX,21,31,-4.0,52.0,0.0,0.125,0.25,-12.25,-10.875,-8.625,20.0,19.625,16.8125,32.25,30.5,25.4375,0.0,0.0,0.0,0.75,0.75,0.5,6.5,4.5,0.125,25.5,26.375,23.1875,19.0,21.875,23.0625,0.0,0.0,0.0,0,0.28052248629242577,JAX,JAX,True,0.7194775137075742,-3.0726851919060394,-10,6.927314808093961
nfl_2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,17,20,4.0,37.0,0.5,0.625,0.75,-3.0,-1.0,-0.5625,24.25,27.375,26.125,27.25,28.375,26.6875,0.0,0.0,0.0,0.5,0.375,0.375,-5.25,-8.125,-5.5,20.0,18.0,18.0,25.25,26.125,23.5,0.0,0.0,0.0,0,0.7393661121187781,MIN,TB,False,0.7393661121187781,3.3511255696628934,-3,6.351125569662893
nfl_2023_01_TEN_NO,2023,1,2023-09-10,NO,TEN,16,15,3.0,31.0,0.75,0.5,0.375,4.25,0.0,-1.0,16.25,14.75,18.9375,12.0,14.75,19.9375,0.0,0.0,0.0,0.0,0.125,0.4375,-6.5,-7.375,-3.75,14.25,16.5,17.375,20.75,23.875,21.125,0.0,0.0,0.0,1,0.6422786436207198,NO,NO,True,0.6422786436207198,1.9919010106900779,1,0.9919010106900779
nfl_2023_01_SF_PIT,2023,1,2023-09-10,PIT,SF,7,30,-1.5,37.0,1.0,0.75,0.5,7.0,3.625,-2.5625,20.25,21.0,17.8125,13.25,17.375,20.375,0.0,0.0,0.0,0.75,0.875,0.8125,6.5,10.25,9.3125,26.25,29.375,27.875,19.75,19.125,18.5625,0.0,0.0,0.0,0,0.44819312226070784,SF,SF,True,0.5518068777392922,-0.7252962883500902,-23,22.27470371164991
nfl_2023_01_ARI_WAS,2023,1,2023-09-10,WAS,ARI,20,16,7.0,36.0,0.25,0.5625,0.46875,-4.75,1.375,-1.75,17.0,20.25,18.3125,21.75,18.875,20.0625,0.0,0.0,0.0,0.0,0.125,0.25,-9.5,-8.875,-5.375,15.75,17.125,19.9375,25.25,26.0,25.3125,0.0,0.0,0.0,1,0.6878606273232076,WAS,WAS,True,0.6878606273232076,2.6300487825249066,4,1.3699512174750934
nfl_2023_01_GB_CHI,2023,1,2023-09-10,CHI,GB,20,38,1.0,58.0,0.0,0.0,0.125,-18.5,-13.5,-9.125,14.0,17.375,19.1875,32.5,30.875,28.3125,0.0,0.0,0.0,0.75,0.625,0.5,9.5,4.125,0.9375,26.75,27.0,22.6875,17.25,22.875,21.75,0.0,0.0,0.0,0,0.29720374846029013,GB,GB,True,0.7027962515397099,-2.839147521555938,-18,15.160852478444061
